,numero_uai,appellation_officielle,denomination_principale,patronyme_uai,secteur_public_prive_libe,adresse_uai,lieu_dit_uai,boite_postale_uai,code_postal_uai,localite_acheminement_uai,libelle_commune,coordonnee_x,coordonnee_y,epsg,latitude,longitude,appariement,localisation,nature_uai,nature_uai_libe,etat_etablissement,etat_etablissement_libe,code_departement,code_region,code_academie,code_commune,libelle_departement,libelle_region,libelle_academie,position,secteur_prive_code_type_contrat,secteur_prive_libelle_type_contrat,code_ministere,libelle_ministere,date_ouverture
30547,0753281J,E.P.PU GROS 18 rue Gros,ECOLE PRIMAIRE PUBLIQUE,GROS,Public,18 rue Gros,,,75016,PARIS,Paris 16e  Arrondissement,646903.7,6861504.5,EPSG:2154,48.85139235976562,2.2764204893761533,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.8513923598,2.27642048938",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1985-09-01
30548,0753436C,E.M.PU OUEST 13 rue de l'Ouest,ECOLE MATERNELLE PUBLIQUE,OUEST,Public,13 rue de l'Ouest,,,75014,PARIS,Paris 14e  Arrondissement,650234.7,6859894.9,EPSG:2154,48.83718316133551,2.32200033095748,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1.0,OUVERT,75,11,1,75114,Paris,Ile-de-France,Paris,"48.8371831613,2.32200033096",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1987-09-01
30549,0753854G,Collège privé Thérèse Chappuis,COLLEGE PRIVE,THERESE CHAPPUIS,Privé,52  RUE VANEAU,,,75007,PARIS,Paris  7e  Arrondissement,650043.2,6861436.4,EPSG:2154,48.85103101767992,2.319210412442488,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75107,Paris,Ile-de-France,Paris,"48.8510310177,2.31921041244",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-03-05
30550,0753908R,Collège privé La Bruyère-Sainte Isabelle,COLLEGE PRIVE,LA BRUYERE-SAINTE-ISABELLE,Privé,66  RUE DE L'ABBE CARTON,,,75014,PARIS,Paris 14e  Arrondissement,650000.9,6858922.3,EPSG:2154,48.8284184086385,2.3189294976736674,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75114,Paris,Ile-de-France,Paris,"48.8284184086,2.31892949767",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-03-18
30551,0753915Y,Lycée général privé Blomet,LYCEE GENERAL PRIVE,BLOMET,Privé,5 rue Blomet,,,75015,PARIS,Paris 15e  Arrondissement,649277.6,6860657.1,EPSG:2154,48.84396300439776,2.30887062707122,Parfaite,Numéro de rue,302,LYCEE D ENSEIGNEMENT GENERAL,1.0,OUVERT,75,11,1,75115,Paris,Ile-de-France,Paris,"48.8439630044,2.30887062707",31.0,CONTRAT ASSOCIATION PARTIE DES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-03-18
30552,0753937X,Collège Evariste Galois,COLLEGE,EVARISTE GALOIS,Public,11 rue du Docteur Bourneville,,,75013,PARIS,Paris 13e  Arrondissement,652887.3,6857789.4,EPSG:2154,48.818447471709966,2.358370652919913,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75113,Paris,Ile-de-France,Paris,"48.8184474717,2.35837065292",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1968-04-24
30553,0753938Y,Collège Georges Rouault,COLLEGE,GEORGES ROUAULT,Public,3 rue du Noyer-Durand,,,75019,PARIS,Paris 19e  Arrondissement,655933.7,6865344.4,EPSG:2154,48.886604867628755,2.39907499723291,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75119,Paris,Ile-de-France,Paris,"48.8866048676,2.39907499723",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1968-04-24
30554,0753941B,Lycée privé Gerson,LYCEE GENERAL PRIVE,GERSON,Privé,31  RUE DE LA POMPE,,,75016,PARIS,Paris 16e  Arrondissement,646812.7,6862542.0,EPSG:2154,48.860714919909114,2.275050636853009,Parfaite,Numéro de rue,302,LYCEE D ENSEIGNEMENT GENERAL,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.8607149199,2.27505063685",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-03-19
30555,0753996L,Collège privé Saint Honoré d'Eylau,COLLEGE PRIVE,SAINT-HONORE D'EYLAU,Privé,66  AVENUE RAYMOND POINCARE,,,75016,PARIS,Paris 16e  Arrondissement,647614.0,6863365.9,EPSG:2154,48.868189729853384,2.285870294147536,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.8681897299,2.28587029415",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-02-23
30556,0754037F,Lycée technologique privé Fenelon Sup La Plaine Monceau,LYCEE TECHNOLOGIQUE PRIVE,FENELON SUP LA PLAINE MONCEAU,Privé,9  BOULEVARD DE COURCELLES,,,75008,PARIS,Paris  8e  Arrondissement,649832.2,6864780.1,EPSG:2154,48.88108383163482,2.3159404023794785,Parfaite,Numéro de rue,301,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,1.0,OUVERT,75,11,1,75108,Paris,Ile-de-France,Paris,"48.8810838316,2.31594040238",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-04-29
