,numero_uai,appellation_officielle,denomination_principale,patronyme_uai,secteur_public_prive_libe,adresse_uai,lieu_dit_uai,boite_postale_uai,code_postal_uai,localite_acheminement_uai,libelle_commune,coordonnee_x,coordonnee_y,epsg,latitude,longitude,appariement,localisation,nature_uai,nature_uai_libe,etat_etablissement,etat_etablissement_libe,code_departement,code_region,code_academie,code_commune,libelle_departement,libelle_region,libelle_academie,position,secteur_prive_code_type_contrat,secteur_prive_libelle_type_contrat,code_ministere,libelle_ministere,date_ouverture
8897,0754986M,E.P.PR IGOUD H AREDI 35 rue Miguel Hidalgo,ECOLE PRIMAIRE PRIVEE,IGOUD H AREDI,Privé,35 rue Miguel Hidalgo,,,75019,PARIS,Paris 19e  Arrondissement,655375.5,6864804.3,EPSG:2154,48.881709456583785,2.3915199687384283,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75119,Paris,Ile-de-France,Paris,"48.8817094566,2.39151996874",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,1999-09-01
8898,0755037T,E.P.PU HENRI NOGUERES 10 rue Henri Nogueres,ECOLE PRIMAIRE PUBLIQUE,HENRI NOGUERES,Public,10 rue Henri Nogueres,,,75019,PARIS,Paris 19e  Arrondissement,654138.0,6865146.0,EPSG:2154,48.88469531952341,2.374609758663679,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75119,Paris,Ile-de-France,Paris,"48.8846953195,2.37460975866",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,2002-09-01
8899,0755683V,E.P.PR OZAR HATORAH 31 rue des Cordelières,ECOLE PRIMAIRE PRIVEE,OZAR HATORAH,Privé,31 rue des Cordelières,,,75013,PARIS,Paris 13e  Arrondissement,652194.7,6859472.5,EPSG:2154,48.83353285643412,2.3487494875139787,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75113,Paris,Ile-de-France,Paris,"48.8335328564,2.34874948751",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,2012-09-01
8900,0755829D,E.P.PR DYNAMIQUE 36 rue des Artistes,ECOLE PRIMAIRE PRIVEE,DYNAMIQUE,Privé,36 rue des Artistes,,,75014,PARIS,Paris 14e  Arrondissement,651139.6,6858663.4,EPSG:2154,48.82617741126835,2.334469456754153,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75114,Paris,Ile-de-France,Paris,"48.8261774113,2.33446945675",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,2015-09-14
8901,0755864S,E.P.PR MONTESSORI 3 rue Papin,ECOLE PRIMAIRE PRIVEE,MONTESSORI,Privé,3 rue Papin,,,75003,PARIS,Paris  3e  Arrondissement,652597.1,6863165.9,EPSG:2154,48.86677717642529,2.3538193890263543,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75103,Paris,Ile-de-France,Paris,"48.8667771764,2.35381938903",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,2016-08-26
9164,0755929M,E.M.PU ROSTROPOVITCH 56 rue Mstislav Rostropovitch,ECOLE MATERNELLE PUBLIQUE,ROSTROPOVITCH,Public,56 rue Mstislav Rostropovitch,,,75017,PARIS,Paris 17e  Arrondissement,649444.0,6865932.3,EPSG:2154,48.89141477389145,2.310510215214896,Parfaite,Rue,101,ECOLE MATERNELLE,1.0,OUVERT,75,11,1,75117,Paris,Ile-de-France,Paris,"48.8914147739,2.31051021521",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,2018-09-01
9184,0752898T,Collège privé Ste Ursule-Louise de Bettignies,COLLEGE PRIVE,STE URSULE-LOUISE BETTIGNIES,Privé,102 boulevard Pereire,,,75017,PARIS,Paris 17e  Arrondissement,648587.6,6865358.4,EPSG:2154,48.88618610752994,2.2989006138997556,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75117,Paris,Ile-de-France,Paris,"48.8861861075,2.2989006139",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1980-07-31
9185,0752917N,Collège privé Saint Louis de Gonzague,COLLEGE PRIVE,SAINT-LOUIS DE GONZAGUE,Privé,12 rue Benjamin Franklin,,,75016,PARIS,Paris 16e  Arrondissement,647576.7,6862408.3,EPSG:2154,48.859575207317626,2.2854799668230874,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.8595752073,2.28547996682",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1980-09-01
9186,0753898E,Ensemble scolaire Eugène Napoléon - Saint Pierre Fourier,LYCEE GENERAL PRIVE,E. NAPOLEON ST PIERRE FOURIER,Privé,13 rue de Prague,,,75012,PARIS,Paris 12e  Arrondissement,654196.7,6861256.0,EPSG:2154,48.84971734370953,2.3758294754367797,Parfaite,Numéro de rue,302,LYCEE D ENSEIGNEMENT GENERAL,1.0,OUVERT,75,11,1,75112,Paris,Ile-de-France,Paris,"48.8497173437,2.37582947544",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-03-18
9187,0755895A,Collège privé MCCAXES,ECOLE SECONDAIRE PRIVEE,MCCAXES,Privé,83 boulevard Exelmans,,,75016,PARIS,Paris 16e  Arrondissement,645613.1,6860669.5,EPSG:2154,48.84377564981531,2.258940412536361,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.8437756498,2.25894041254",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,2017-09-01
9199,0755896B,Lycée privé MCCAXES,ECOLE GEN.ET TECHNOL. PRIVEE,MCCAXES,Privé,83 boulevard Exelmans,,,75016,PARIS,Paris 16e  Arrondissement,645613.1,6860669.5,EPSG:2154,48.84377564981531,2.258940412536361,Parfaite,Numéro de rue,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.8437756498,2.25894041254",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,2017-09-01
13353,0750141W,E.P.PR MASSILLON 9 rue du Petit Musc,ECOLE PRIMAIRE PRIVEE,MASSILLON,Privé,9 rue du Petit Musc,PARIS,,75004,PARIS,Paris  4e  Arrondissement,653266.1,6861519.8,EPSG:2154,48.852022861032026,2.3631195577037927,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75104,Paris,Ile-de-France,Paris,"48.852022861,2.3631195577",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-10
13354,0750169B,E.P.PR ECOLE ALSACIENNE 109 rue notre Dame des Champs,ECOLE PRIMAIRE PRIVEE,ECOLE ALSACIENNE,Privé,109 rue Notre Dame des Champs,,,75006,PARIS,Paris  6e  Arrondissement,651105.8,6860312.4,EPSG:2154,48.84100442841867,2.3338195939921995,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75106,Paris,Ile-de-France,Paris,"48.8410044284,2.33381959399",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-10
13355,0750236Z,E.P.PR SAINT-MICHEL DE PICPUS 47 boulevard de Picpus,ECOLE PRIMAIRE PRIVEE,SAINT-MICHEL DE PICPUS,Privé,47 boulevard de Picpus,,,75012,PARIS,Paris 12e  Arrondissement,656089.8,6860637.1,EPSG:2154,48.844283354214156,2.4016900139146866,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75112,Paris,Ile-de-France,Paris,"48.8442833542,2.40169001391",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-15
13356,0750893N,E.E.PU GENERAL LASALLE 1 rue du Général Lasalle,ECOLE ELEMENTAIRE PUBLIQUE,GENERAL LASALLE,Public,1 rue du Général Lasalle,,,75019,PARIS,Paris 19e  Arrondissement,654612.9,6863981.4,EPSG:2154,48.87425601616235,2.3812098424957986,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75119,Paris,Ile-de-France,Paris,"48.8742560162,2.3812098425",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
13357,0751151U,E.E.PU MAURICE D OCAGNE 7 avenue Maurice d'Ocagne,ECOLE ELEMENTAIRE PUBLIQUE,MAURICE D OCAGNE,Public,7 avenue Maurice d'Ocagne,,,75014,PARIS,Paris 14e  Arrondissement,649503.4,6858522.0,EPSG:2154,48.82477968397213,2.3122005600513384,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75114,Paris,Ile-de-France,Paris,"48.824779684,2.31220056005",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
13358,0751258K,E.P.PU BELLIARD K 131 rue Belliard,ECOLE PRIMAIRE PUBLIQUE,BELLIARD K,Public,131 rue Belliard,,,75018,PARIS,Paris 18e  Arrondissement,651272.8,6866461.9,EPSG:2154,48.89631825507738,2.3353896539764216,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75118,Paris,Ile-de-France,Paris,"48.8963182551,2.33538965398",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
13359,0752203M,E.P.PR E.I.B. LAMARTINE 123 rue de la Pompe,ECOLE PRIMAIRE PRIVEE,E.I.B. LAMARTINE,Privé,123 rue de la Pompe,,,75016,PARIS,Paris 16e  Arrondissement,647156.3,6863137.9,EPSG:2154,48.86610199480132,2.279659592802452,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.8661019948,2.2796595928",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1973-04-03
13360,0752639L,E.E.PU DUNOIS L 64 rue dunois,ECOLE ELEMENTAIRE PUBLIQUE,DUNOIS L,Public,64 rue Dunois,,,75013,PARIS,Paris 13e  Arrondissement,653514.7,6859384.5,EPSG:2154,48.83283801968855,2.3667406494936407,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75113,Paris,Ile-de-France,Paris,"48.8328380197,2.36674064949",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1978-09-01
13361,0753198U,E.P.PU DAVOUT 51 boulevard Davout,ECOLE PRIMAIRE PUBLIQUE,DAVOUT,Public,51 boulevard Davout,,,75020,PARIS,Paris 20e  Arrondissement,656759.7,6861504.0,EPSG:2154,48.85212470951599,2.4107294225149887,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75120,Paris,Ile-de-France,Paris,"48.8521247095,2.41072942251",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1984-09-01
13362,0753452V,E.P.PR YAD MORDEKHAI 145 rue Saint-Maur,ECOLE PRIMAIRE PRIVEE,YAD MORDEKHAI,Privé,145 rue Saint-Maur,,,75011,PARIS,Paris 11e  Arrondissement,654174.5,6863272.5,EPSG:2154,48.86784996812241,2.3753095741949752,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75111,Paris,Ile-de-France,Paris,"48.8678499681,2.37530957419",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,1987-07-01
13363,0753737E,E.E.PU FRANCOISE DORLEAC EB 8 place Francoise Dorléac,ECOLE ELEMENTAIRE PUBLIQUE,FRANCOISE DORLEAC EB,Public,8 place Francoise Dorléac,,,75018,PARIS,Paris 18e  Arrondissement,651407.1,6866904.4,EPSG:2154,48.900307610475544,2.3371706791248195,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75118,Paris,Ile-de-France,Paris,"48.9003076105,2.33717067912",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1967-10-09
13364,0754829S,E.P.PR HORIZON MONTESSORI 6 rue Gourdault,ECOLE PRIMAIRE PRIVEE,HORIZON MONTESSORI,Privé,6 rue Gourdault,,,75013,PARIS,Paris 13e  Arrondissement,653844.7,6859255.7,EPSG:2154,48.83170342229483,2.3712499496516277,Correcte,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75113,Paris,Ile-de-France,Paris,"48.8317034223,2.37124994965",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,1996-09-01
13365,0754983J,E.M.PU PAUL ABADIE 1 rue Paul Abadie,ECOLE MATERNELLE PUBLIQUE,PAUL ABADIE,Public,1 rue Paul Abadie,,,75018,PARIS,Paris 18e  Arrondissement,651277.7,6866523.2,EPSG:2154,48.896869870135966,2.3354494474952374,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1.0,OUVERT,75,11,1,75118,Paris,Ile-de-France,Paris,"48.8968698701,2.3354494475",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,2000-09-01
13366,0755710Z,E.P.PU BERNARD BUFFET 14 rue Bernard Buffet,ECOLE PRIMAIRE PUBLIQUE,BERNARD BUFFET,Public,14 rue Bernard Buffet,,,75017,PARIS,Paris 17e  Arrondissement,649854.9,6865961.8,EPSG:2154,48.89171218961229,2.3161103609581546,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75117,Paris,Ile-de-France,Paris,"48.8917121896,2.31611036096",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,2013-02-19
13367,0755856H,E.P.PR THE BILINGUAL MONTESSORI SCHOOL OF PARIS 23 avenue George V,ECOLE PRIMAIRE PRIVEE,THE BILINGUAL MONTESSORI SCHOOL OF PARIS,Privé,23 avenue George V,,,75008,PARIS,Paris  8e  Arrondissement,648718.8,6863281.0,EPSG:2154,48.867515152096594,2.3009404574367807,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75108,Paris,Ile-de-France,Paris,"48.8675151521,2.30094045744",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,2016-07-18
13690,0752923V,Collège privé Rocroy Saint Vincent de Paul,COLLEGE PRIVE,ROCROY SAINT VINCENT DE PAUL,Privé,106 rue du Faubourg Poissonnière,,,75010,PARIS,Paris 10e  Arrondissement,652277.2,6864489.2,EPSG:2154,48.87865369088666,2.3493101698601206,Correcte,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75110,Paris,Ile-de-France,Paris,"48.8786536909,2.34931016986",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1980-09-01
13691,0753916Z,Lycée général privé Sainte Elisabeth,LYCEE GENERAL PRIVE,SAINTE-ELISABETH,Privé,112 rue de Lourmel,,,75015,PARIS,Paris 15e  Arrondissement,647609.1,6860550.2,EPSG:2154,48.84286816371917,2.286150494949569,Parfaite,Numéro de rue,302,LYCEE D ENSEIGNEMENT GENERAL,1.0,OUVERT,75,11,1,75115,Paris,Ile-de-France,Paris,"48.8428681637,2.28615049495",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-03-18
13692,0753946G,Etablissement privé Notre-Dame des Oiseaux (Ecole secondaire privée),LYCEE GENERAL PRIVE,NOTRE-DAME DES OISEAUX,Privé,12 rue Michel Ange,,,75016,PARIS,Paris 16e  Arrondissement,645911.9,6860995.1,EPSG:2154,48.84672889059724,2.26297012558929,Parfaite,Numéro de rue,302,LYCEE D ENSEIGNEMENT GENERAL,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.8467288906,2.26297012559",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-03-27
18896,0751883P,Lycée technologique privé Institut clorivière,LYCEE TECHNOLOGIQUE PRIVE,INSTITUT PRIVE CLORIVIERE,Privé,119 boulevard Diderot,,,75012,PARIS,Paris 12e  Arrondissement,655276.8,6861039.1,EPSG:2154,48.84784263785376,2.3905704295801944,Parfaite,Numéro de rue,301,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,1.0,OUVERT,75,11,1,75112,Paris,Ile-de-France,Paris,"48.8478426379,2.39057042958",31.0,CONTRAT ASSOCIATION PARTIE DES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1970-11-23
18897,0752870M,Collège privé Saint Jean de Passy,COLLEGE PRIVE,SAINT-JEAN DE PASSY,Privé,72  RUE RAYNOUARD,,,75016,PARIS,Paris 16e  Arrondissement,647055.0,6861845.7,EPSG:2154,48.854473175450686,2.278439754335523,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.8544731755,2.27843975434",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1980-04-14
18898,0752877V,Ecole technologique privée Métiers de la création-La Ruche,ECOLE TECHNOLOGIQUE PRIVEE,MET DE LA CREATION-LA RUCHE,Privé,14 rue LALLY TOLLENDAL,,,75019,PARIS,Paris 19e  Arrondissement,654111.7,6864966.4,EPSG:2154,48.88307835603515,2.374270544819522,Parfaite,Numéro de rue,301,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,1.0,OUVERT,75,11,1,75119,Paris,Ile-de-France,Paris,"48.883078356,2.37427054482",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,1977-05-09
18899,0752900V,Collège privé Stanislas,COLLEGE PRIVE,STANISLAS,Privé,22  RUE NOTRE DAME DES CHAMPS,,,75006,PARIS,Paris  6e  Arrondissement,650661.1,6860839.5,EPSG:2154,48.845710739452144,2.3276997310603167,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75106,Paris,Ile-de-France,Paris,"48.8457107395,2.32769973106",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1980-08-05
18900,0753082T,Ecole des Techniciens Supérieurs (Ecole secondaire professionnelle privée),ECOLE 2D DEGRE PROF.PRIVEE,ETS - IRIS,Privé,63 rue Ampère,,,75017,PARIS,Paris 17e  Arrondissement,648735.4,6865246.9,EPSG:2154,48.885195214790585,2.3009294848782678,Parfaite,Numéro de rue,320,LYCEE PROFESSIONNEL,1.0,OUVERT,75,11,1,75117,Paris,Ile-de-France,Paris,"48.8851952148,2.30092948488",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,1982-09-01
18901,0753206C,Collège privé Sinaï,COLLEGE PRIVE,SINAI,Privé,2  RUE TRISTAN TZARA,,,75018,PARIS,Paris 18e  Arrondissement,653515.4,6866240.7,EPSG:2154,48.89449492876749,2.366000276170941,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75118,Paris,Ile-de-France,Paris,"48.8944949288,2.36600027617",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1984-07-01
18902,0753231E,Lycée général privé Sinaï,LYCEE GENERAL PRIVE,SINAI,Privé,2  RUE TRISTAN TZARA,,,75018,PARIS,Paris 18e  Arrondissement,653515.4,6866240.7,EPSG:2154,48.89449492876749,2.366000276170941,Parfaite,Numéro de rue,302,LYCEE D ENSEIGNEMENT GENERAL,1.0,OUVERT,75,11,1,75118,Paris,Ile-de-France,Paris,"48.8944949288,2.36600027617",31.0,CONTRAT ASSOCIATION PARTIE DES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1984-09-01
18903,0753377N,IPECOM Prépa Sciences (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,IPECOM PREPA SCIENCES,Privé,8  RUE BENJAMIN GODARD,,,75016,PARIS,Paris 16e  Arrondissement,646860.4,6863182.9,EPSG:2154,48.866482325252406,2.275620621987421,Parfaite,Numéro de rue,302,LYCEE D ENSEIGNEMENT GENERAL,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.8664823253,2.27562062199",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,1986-09-01
18904,0753387Z,Collège privé Beth Yacov,COLLEGE PRIVE,BETH YACOV,Privé,50 BIS RUE DES PRAIRIES,,,75020,PARIS,Paris 20e  Arrondissement,656140.3,6862757.7,EPSG:2154,48.8633572937003,2.4021593245572044,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75120,Paris,Ile-de-France,Paris,"48.8633572937,2.40215932456",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1986-09-22
18905,0753857K,Ecole du Champ de Mars (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,ECOLE DU CHAMP DE MARS,Privé,87  AVENUE DE LA BOURDONNAIS,,,75007,PARIS,Paris  7e  Arrondissement,648851.3,6862005.1,EPSG:2154,48.85605175307228,2.3029001335063803,Parfaite,Numéro de rue,302,LYCEE D ENSEIGNEMENT GENERAL,1.0,OUVERT,75,11,1,75107,Paris,Ile-de-France,Paris,"48.8560517531,2.30290013351",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,1968-03-05
18906,0753896C,Collège privé Sainte Clotilde,COLLEGE PRIVE,SAINTE-CLOTILDE,Privé,103 rue de Reuilly,,,75012,PARIS,Paris 12e  Arrondissement,655371.0,6860499.4,EPSG:2154,48.8429956295756,2.3919106483005685,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75112,Paris,Ile-de-France,Paris,"48.8429956296,2.3919106483",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-03-18
18907,0753935V,Lycée général privé Georges Leven,LYCEE GENERAL PRIVE,GEORGES LEVEN,Privé,30 boulevard Carnot,,,75012,PARIS,Paris 12e  Arrondissement,656909.5,6860430.1,EPSG:2154,48.84247712478351,2.4128796079100647,Parfaite,Numéro de rue,302,LYCEE D ENSEIGNEMENT GENERAL,1.0,OUVERT,75,11,1,75112,Paris,Ile-de-France,Paris,"48.8424771248,2.41287960791",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-03-25
18908,0753992G,Collège privé Saint Joseph,COLLEGE PRIVE,SAINT-JOSEPH,Privé,13 place Etienne Pernet,,,75015,PARIS,Paris 15e  Arrondissement,648096.4,6860549.9,EPSG:2154,48.84290489995582,2.292789855839388,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75115,Paris,Ile-de-France,Paris,"48.8429049,2.29278985584",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-02-23
18909,0754004V,Collège privé Saint Georges,COLLEGE PRIVE,SAINT-GEORGES,Privé,19  RUE BOURET,,,75019,PARIS,Paris 19e  Arrondissement,654131.4,6864773.4,EPSG:2154,48.88134416494058,2.3745600061232546,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75119,Paris,Ile-de-France,Paris,"48.8813441649,2.37456000612",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-02-23
18910,0754007Y,Collège privé Sainte-Louise,COLLEGE PRIVE,SAINTE-LOUISE,Privé,29 rue des Envierges,,,75020,PARIS,Paris 20e  Arrondissement,655103.5,6863770.5,EPSG:2154,48.87239382150532,2.3879205113792312,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75120,Paris,Ile-de-France,Paris,"48.8723938215,2.38792051138",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-02-23
18911,0754101A,Ecole privée de Dessin technique et artistique Sornas,ECOLE TECHNOLOGIQUE PRIVEE,EC DESSIN TECHN ARTIST SORNAS,Privé,108 rue Saint Honoré,,,75001,PARIS,Paris  1er Arrondissement,651713.2,6862600.4,EPSG:2154,48.86162607244626,2.34183516222688,Parfaite,Numéro de rue,301,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,1.0,OUVERT,75,11,1,75101,Paris,Ile-de-France,Paris,"48.8616260724,2.34183516223",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,1956-03-21
18912,0754191Y,Section d'enseignement professionnel privé Notre-Dame Saint Vincent de Paul,SEP DU LYCEE POLYVALENT PRIVE,NOTRE-DAME -ST VINCENT DE PAUL,Privé,49 rue Bobillot,,,75013,PARIS,Paris 13e  Arrondissement,652494.6,6858884.4,EPSG:2154,48.8282661807477,2.3529004892691145,Parfaite,Numéro de rue,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,1.0,OUVERT,75,11,1,75113,Paris,Ile-de-France,Paris,"48.8282661807,2.35290048927",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-03-15
18913,0754666P,Lycée général et technologique privé Passy-Saint Honoré,LYCEE GEN.ET TECHNOL.PRIVE,PASSY-SAINT-HONORE,Privé,117 avenue Victor Hugo,,,75016,PARIS,Paris 16e  Arrondissement,647357.3,6863377.8,EPSG:2154,48.86827581446612,2.282369659298864,Parfaite,Numéro de rue,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.8682758145,2.2823696593",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1993-09-01
18914,0754887E,Section d'enseignement professionnel du Lycée polyvalent Louis Armand,SECTION ENSEIGNT PROFESSIONNEL,LPO LOUIS ARMAND,Public,321 rue Lecourbe,,,75015,PARIS,Paris 15e  Arrondissement,647558.7,6859929.8,EPSG:2154,48.837284822881614,2.2855402933184266,Parfaite,Numéro de rue,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,1.0,OUVERT,75,11,1,75115,Paris,Ile-de-France,Paris,"48.8372848229,2.28554029332",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1994-09-01
