Nombre_delits_crimes_2019,piece,Vetements_accessoires,arrondissement,services,loisirs,Commerces_automobile,Mobilier_electromenager,1946-1970,1946-1970,1971-1990,1971-1990,Apres 1990,Apres 1990,Avant 1946,Avant 1946,code_grand_quartier,meublé,non meublé,polar_coords1,polar_coords2,ref
19856,2,57,19,43,13,9,9,0,0,1,1,0,0,0,0,7511976,1,0,0.03861848520246173,0.4466457501343289,21.8
15167,3,124,10,78,35,11,25,0,0,1,1,0,0,0,0,7511039,1,0,0.01949907394223315,0.5338691280771024,22.3
5350,2,102,2,32,15,1,9,0,0,1,1,0,0,0,0,7510205,1,0,0.013895705956328566,-0.5340203277469392,28.6
8477,4,204,6,77,43,2,39,0,0,0,0,1,1,0,0,7510622,1,0,0.01757250420777975,1.0487246508711732,29.6
8477,4,204,6,77,43,2,39,0,0,0,0,0,0,1,1,7510622,0,1,0.01757250420777975,1.0487246508711732,25.6
5428,2,26,4,22,48,2,8,0,0,1,1,0,0,0,0,7510416,0,1,0.013013554980597416,-0.8362034742714815,25.3
18654,3,66,20,65,24,15,22,1,1,0,0,0,0,0,0,7512079,1,0,0.050465554000563836,0.03369118633025363,21.4
16265,3,151,16,56,7,8,25,0,0,1,1,0,0,0,0,7511663,0,1,0.0739359364808242,-0.1283748729717448,25.3
8378,4,193,3,33,120,5,24,0,0,0,0,0,0,1,1,7510311,0,1,0.01824921248496253,-0.15822279176508441,25.1
19422,3,145,15,90,63,22,110,0,0,0,0,0,0,1,1,7511559,0,1,0.05491731707144338,0.20881656332917942,22.9
15726,3,131,1,34,49,0,28,0,0,0,0,1,1,0,0,7510103,0,1,0.009099648178207154,-0.2872174732934686,24.5
8477,4,51,5,66,35,9,25,0,0,0,0,1,1,0,0,7510519,1,0,0.02012214487785656,1.520101444919393,28.1
15726,4,131,1,34,49,0,28,0,0,0,0,0,0,1,1,7510103,1,0,0.009099648178207154,-0.2872174732934686,28.9
19422,4,110,15,99,33,24,48,0,0,0,0,1,1,0,0,7511558,0,1,0.03749485221786559,0.5565652275688768,24.7
15726,4,249,1,35,20,2,16,0,0,0,0,0,0,1,1,7510104,0,1,0.0168768644190784,-0.3040032939384008,25.6
20898,1,198,8,34,3,7,6,0,0,0,0,1,1,0,0,7510829,1,0,0.03834791115570099,-0.16501578657760615,36.3
13879,1,66,14,71,31,20,35,1,1,0,0,0,0,0,0,7511456,0,1,0.04180597292850479,0.8268882377719562,23.9
18770,3,209,17,104,49,62,72,0,0,0,0,1,1,0,0,7511765,0,1,0.05891330536171602,-0.34006327359121336,24.4
8477,2,204,6,77,43,2,39,0,0,0,0,0,0,1,1,7510622,1,0,0.01757250420777975,1.0487246508711732,31.9
20898,1,183,8,56,45,15,51,0,0,1,1,0,0,0,0,7510830,1,0,0.043695326468300634,-0.27614936456924316,31.5
7169,2,122,7,69,42,7,41,0,0,0,0,1,1,0,0,7510728,0,1,0.04456615975459604,0.10506839732061903,29.4
