Nombre_delits_crimes_2019,piece,Vetements_accessoires,arrondissement,services,loisirs,Commerces_automobile,Mobilier_electromenager,1946-1970,1946-1970,1971-1990,1971-1990,Apres 1990,Apres 1990,Avant 1946,Avant 1946,code_grand_quartier,meublé,non meublé,polar_coords1,polar_coords2,ref
15726,1,249,1,35,20,2,16,0,0,1,1,0,0,0,0,7510104,0,1,0.0168768644190784,-0.3040032939384008,27.9
24474,1,294,18,196,134,21,141,0,0,1,1,0,0,0,0,7511870,1,0,0.029657441569164104,1.5372174893205752,27.3
15167,1,62,10,45,23,15,25,1,1,0,0,0,0,0,0,7511040,0,1,0.025982197987841873,0.5956749430371416,23.9
13759,2,86,12,94,73,26,33,1,1,0,0,0,0,0,0,7511246,0,1,0.10187496778338553,-0.2841438447623457,20.0
16265,1,151,16,56,7,8,25,0,0,1,1,0,0,0,0,7511663,1,0,0.0739359364808242,-0.1283748729717448,33.2
19422,4,110,15,99,33,24,48,0,0,0,0,0,0,1,1,7511558,1,0,0.03749485221786559,0.5565652275688768,26.7
13759,1,20,12,22,34,4,7,0,0,0,0,1,1,0,0,7511247,0,1,0.04888113263636414,-0.5854181039009496,25.7
8477,4,40,5,50,16,5,14,0,0,0,0,1,1,0,0,7510518,0,1,0.023388618931187908,-1.051816806927014,23.5
18770,2,82,17,70,23,17,28,0,0,0,0,1,1,0,0,7511768,1,0,0.040306042425190564,-0.9058307868075594,27.0
15726,4,33,1,28,20,1,14,1,1,0,0,0,0,0,0,7510101,1,0,0.009472874659510716,0.17138079722219274,25.9
17723,3,16,13,35,13,9,13,0,0,1,1,0,0,0,0,7511349,0,1,0.03150370160897329,-0.872503783119703,21.8
13879,4,2,14,15,6,0,2,0,0,0,0,0,0,1,1,7511454,0,1,0.03876798634491023,1.348510898169314,21.4
8477,2,221,6,45,126,0,59,0,0,1,1,0,0,0,0,7510624,0,1,0.012815162302587524,0.5459862981518804,25.3
14628,4,118,9,53,44,8,29,0,0,1,1,0,0,0,0,7510936,1,0,0.01791869658560452,1.564172471948611,24.5
14628,2,226,9,75,21,0,20,0,0,1,1,0,0,0,0,7510934,0,1,0.016766360054298265,-0.7230741369929625,25.3
16265,2,78,16,90,21,50,51,0,0,0,0,0,0,1,1,7511661,0,1,0.0865918881942693,0.13610926400500145,24.1
8477,1,378,6,113,42,5,72,0,0,0,0,1,1,0,0,7510623,1,0,0.025716388963695498,0.6619775083949289,39.6
8378,2,192,3,27,48,3,25,0,0,1,1,0,0,0,0,7510310,0,1,0.017866988762024145,0.11782336177145036,22.7
17723,3,16,13,35,13,9,13,1,1,0,0,0,0,0,0,7511349,0,1,0.03150370160897329,-0.872503783119703,20.7
13759,3,20,12,22,34,4,7,0,0,0,0,0,0,1,1,7511247,1,0,0.04888113263636414,-0.5854181039009496,23.2
15167,2,187,10,106,33,21,29,0,0,1,1,0,0,0,0,7511037,1,0,0.021670423696255475,0.9836087971066798,25.3
19422,3,124,15,61,28,16,55,1,1,0,0,0,0,0,0,7511560,1,0,0.06997947052887823,0.33759331165368633,25.7
17723,4,16,13,35,13,9,13,1,1,0,0,0,0,0,0,7511349,1,0,0.03150370160897329,-0.872503783119703,23.3
14628,3,226,9,75,21,0,20,0,0,0,0,0,0,1,1,7510934,1,0,0.016766360054298265,-0.7230741369929625,30.7
19422,2,118,15,124,43,31,67,0,0,0,0,1,1,0,0,7511557,0,1,0.05432869012675574,0.5318041662032758,23.4
8378,2,193,3,33,120,5,24,1,1,0,0,0,0,0,0,7510311,0,1,0.01824921248496253,-0.15822279176508441,22.8
13759,2,20,12,22,34,4,7,0,0,0,0,1,1,0,0,7511247,0,1,0.04888113263636414,-0.5854181039009496,23.3
13879,2,66,14,71,31,20,35,0,0,0,0,0,0,1,1,7511456,1,0,0.04180597292850479,0.8268882377719562,28.4
24474,4,51,18,52,12,5,87,0,0,0,0,1,1,0,0,7511871,0,1,0.03254836608365798,1.2195821586003106,19.4
8477,1,204,6,77,43,2,39,1,1,0,0,0,0,0,0,7510622,1,0,0.01757250420777975,1.0487246508711732,36.0
8378,1,80,3,27,56,8,17,0,0,1,1,0,0,0,0,7510309,0,1,0.012944494651200658,0.3382798917020086,30.3
8378,1,65,3,20,62,5,9,0,0,0,0,0,0,1,1,7510312,0,1,0.010099789072358277,0.02308626913492399,31.1
15513,2,118,11,68,65,23,64,0,0,0,0,0,0,1,1,7511144,0,1,0.04212937941788979,-0.2272299232755855,24.6
24474,3,196,18,117,81,29,51,0,0,0,0,1,1,0,0,7511869,1,0,0.03175521763014732,-1.2021980220756778,24.5
18770,3,152,17,91,21,27,38,1,1,0,0,0,0,0,0,7511766,1,0,0.04937038284418086,-0.4978539975895506,25.3
16265,3,151,16,56,7,8,25,1,1,0,0,0,0,0,0,7511663,0,1,0.0739359364808242,-0.1283748729717448,25.3
5428,3,132,4,45,54,2,22,1,1,0,0,0,0,0,0,7510413,1,0,0.00768792664171321,-0.5690648694063986,24.5
14628,4,226,9,75,21,0,20,0,0,0,0,1,1,0,0,7510934,0,1,0.016766360054298265,-0.7230741369929625,26.2
20898,3,183,8,56,45,15,51,0,0,1,1,0,0,0,0,7510830,1,0,0.043695326468300634,-0.27614936456924316,25.2
19856,3,41,19,51,14,12,16,0,0,0,0,0,0,1,1,7511975,0,1,0.053305879132159666,0.3899946029286863,20.4
5428,3,26,4,22,48,2,8,1,1,0,0,0,0,0,0,7510416,1,0,0.013013554980597416,-0.8362034742714815,24.5
19856,2,29,19,21,10,8,11,0,0,1,1,0,0,0,0,7511974,0,1,0.05127307109114775,0.6744651784068575,17.9
20898,1,127,8,89,66,11,54,0,0,0,0,1,1,0,0,7510832,1,0,0.03342214876446949,-0.5112052722868463,31.2
8477,4,83,6,47,137,1,21,0,0,1,1,0,0,0,0,7510621,0,1,0.008898692094924467,1.0366678736925319,22.2
13759,1,126,12,94,66,26,101,0,0,0,0,0,0,1,1,7511248,0,1,0.03347954928395306,-0.47734671686947006,28.1
18654,1,63,20,51,31,10,18,0,0,0,0,0,0,1,1,7512077,1,0,0.04283884998942392,0.21566065917861754,31.8
15513,2,138,11,82,62,15,61,1,1,0,0,0,0,0,0,7511141,0,1,0.029222881096545122,0.17696716953112207,22.1
8477,1,83,6,47,137,1,21,0,0,0,0,1,1,0,0,7510621,1,0,0.008898692094924467,1.0366678736925319,36.3
19422,2,145,15,90,63,22,110,1,1,0,0,0,0,0,0,7511559,1,0,0.05491731707144338,0.20881656332917942,26.0
13879,1,66,14,71,31,20,35,0,0,1,1,0,0,0,0,7511456,1,0,0.04180597292850479,0.8268882377719562,28.9
24474,2,294,18,196,134,21,141,0,0,1,1,0,0,0,0,7511870,1,0,0.029657441569164104,1.5372174893205752,24.9
15167,2,78,10,75,22,3,23,0,0,1,1,0,0,0,0,7511038,0,1,0.013131521851184724,0.9829598026967977,22.4
8378,2,192,3,27,48,3,25,1,1,0,0,0,0,0,0,7510310,1,0,0.017866988762024145,0.11782336177145036,25.8
7169,3,13,7,21,4,5,8,0,0,0,0,0,0,1,1,7510727,0,1,0.03560921164149469,0.34769086248715747,26.4
18770,1,82,17,70,23,17,28,0,0,0,0,1,1,0,0,7511768,1,0,0.040306042425190564,-0.9058307868075594,27.2
20898,2,127,8,89,66,11,54,0,0,0,0,1,1,0,0,7510832,1,0,0.03342214876446949,-0.5112052722868463,30.2
24474,1,33,18,35,7,8,12,1,1,0,0,0,0,0,0,7511872,1,0,0.037108820682343335,1.0066341479674799,25.9
13879,1,2,14,15,6,0,2,0,0,1,1,0,0,0,0,7511454,0,1,0.03876798634491023,1.348510898169314,25.4
16265,3,151,16,56,7,8,25,1,1,0,0,0,0,0,0,7511663,1,0,0.0739359364808242,-0.1283748729717448,28.6
8477,2,42,5,62,49,4,26,0,0,0,0,1,1,0,0,7510517,0,1,0.017639857076606928,-0.937066607169339,25.4
19856,3,57,19,43,13,9,9,0,0,1,1,0,0,0,0,7511976,1,0,0.03861848520246173,0.4466457501343289,20.9
13759,4,126,12,94,66,26,101,0,0,0,0,1,1,0,0,7511248,0,1,0.03347954928395306,-0.47734671686947006,19.4
18654,2,66,20,65,24,15,22,0,0,0,0,0,0,1,1,7512079,1,0,0.050465554000563836,0.03369118633025363,25.7
24474,2,294,18,196,134,21,141,0,0,0,0,0,0,1,1,7511870,1,0,0.029657441569164104,1.5372174893205752,26.2
13879,1,2,14,15,6,0,2,0,0,0,0,1,1,0,0,7511454,0,1,0.03876798634491023,1.348510898169314,24.1
17723,3,127,13,100,29,28,36,0,0,0,0,0,0,1,1,7511351,0,1,0.038886240308054626,-1.3958987381223886,21.9
14628,2,88,9,65,106,7,34,0,0,0,0,1,1,0,0,7510933,0,1,0.021109145373455734,-1.0119346640805658,25.0
20898,2,127,8,89,66,11,54,0,0,1,1,0,0,0,0,7510832,1,0,0.03342214876446949,-0.5112052722868463,30.4
13759,4,126,12,94,66,26,101,1,1,0,0,0,0,0,0,7511248,0,1,0.03347954928395306,-0.47734671686947006,21.6
20898,1,127,8,89,66,11,54,0,0,0,0,0,0,1,1,7510832,0,1,0.03342214876446949,-0.5112052722868463,27.8
15167,2,78,10,75,22,3,23,0,0,0,0,1,1,0,0,7511038,1,0,0.013131521851184724,0.9829598026967977,28.3
5350,2,156,2,31,29,2,26,0,0,0,0,1,1,0,0,7510208,0,1,0.007335478692445038,0.7572738013038912,25.4
18654,3,66,20,65,24,15,22,0,0,0,0,0,0,1,1,7512079,0,1,0.050465554000563836,0.03369118633025363,20.5
16265,4,78,16,90,21,50,51,1,1,0,0,0,0,0,0,7511661,1,0,0.0865918881942693,0.13610926400500145,24.2
16265,1,229,16,90,14,4,59,0,0,0,0,1,1,0,0,7511662,0,1,0.0922557887316518,-0.01329824017080208,27.6
5350,2,102,2,32,15,1,9,0,0,0,0,1,1,0,0,7510205,0,1,0.013895705956328566,-0.5340203277469392,26.7
8378,4,65,3,20,62,5,9,0,0,1,1,0,0,0,0,7510312,1,0,0.010099789072358277,0.02308626913492399,25.9
14628,1,226,9,75,21,0,20,0,0,1,1,0,0,0,0,7510934,0,1,0.016766360054298265,-0.7230741369929625,27.9
