X,Y,OBJECTID,C_ORD,NIV6,ARRO,QUA,IRIS,NUM,LET,TYP_VOIE,LIB_VOIE,LIBACT,SIT,CODACT,SURF,CC_ID,CC_NIV,TYPE
648765.401123047,6863195.92651367,18480,21019,2,8,29,751082901,18,,AV,GEORGE V,Vente de meubles salon et chambre,A,CD103,3,,,C
648784.561096191,6863226.14367676,18481,21024,2,8,29,751082901,4,,RUE,MARBEUF,Parfumerie - Produits de beauté,R,CC202,1,,,C
648912.74810791,6863113.25390625,18484,21027,2,8,29,751082901,1,,RUE,BOCCADOR,Prêt-à-porter Femme,R,CB104,1,,,C
648865.415100098,6863164.81530762,18486,21029,2,8,29,751082901,5,,RUE,BOCCADOR,Linge de maison,R,CD202,1,,,C
648772.217712402,6863064.0703125,18490,21033,2,8,29,751082901,8,,AV,GEORGE V,Prêt-à-porter Femme,R,CB104,1,,,C
648771.160522461,6863084.70507812,18491,21034,2,8,29,751082901,10,,AV,GEORGE V,Haute couture - Créateurs,R,CB101,1,,,C
648771.369873047,6863080.71051025,18492,21035,2,8,29,751082901,10,,AV,GEORGE V,Haute couture - Créateurs,R,CB101,1,,,C
648784.956115723,6863146.04492188,18497,21041,2,8,29,751082901,4,,RUE,LA TREMOILLE,Prêt-à-porter Femme,R,CB104,1,,,C
648797.80871582,6863004.03631592,18502,21046,2,8,29,751082901,1,,AV,MONTAIGNE,Kiosque à journaux,R,CE104,1,,,K
648919.199707031,6863097.33789062,18505,21051,2,8,29,751082901,19,,AV,MONTAIGNE,Haute couture - Créateurs,A,CB101,2,,,C
648731.280090332,6863043.82171631,18511,21057,2,8,29,751082904,3,,AV,GEORGE V,Haute couture - Créateurs,R,CB101,1,,,C
648628.557312012,6863210.96148682,18519,21079,2,8,29,751082904,26,,AV,MARCEAU,Friperie - Solderie - Dépôt-vente de vêtements,R,CB109,1,,,C
648677.333129883,6863324.02789307,18523,21084,2,8,29,751082904,36,,AV,PIERRE IER DE SERBIE,Prêt-à-porter Femme,A,CB104,1,,,C
648684.460083008,6863329.40008545,18524,21086,2,8,29,751082904,38,,AV,PIERRE IER DE SERBIE,Prêt-à-porter Homme,R,CB105,1,,,C
