Nombre_delits_crimes_2019,piece,Vetements_accessoires,arrondissement,services,loisirs,Commerces_automobile,Mobilier_electromenager,1946-1970,1971-1990,Apres 1990,Avant 1946,code_grand_quartier,meublé,non meublé,polar_coords1,polar_coords2,ref
20898,1,183,8,56,45,15,51,0,0,0,1,7510830,0,1,0.4234519268185987,0.4075542004357244,32.7
15726,1,33,1,28,20,1,14,0,1,0,0,7510101,1,0,0.091801740627592,0.5516253945445405,31.5
14628,2,226,9,75,21,0,20,1,0,0,0,7510934,1,0,0.1624829940537827,0.26367789636238326,30.2
20898,4,198,8,34,3,7,6,0,1,0,0,7510829,1,0,0.3716300616298281,0.44333088914593055,25.1
8477,2,378,6,113,42,5,72,0,0,0,1,7510623,1,0,0.24921783031861436,0.7095607920640797,32.0
8378,3,192,3,27,48,3,25,0,0,0,1,7510310,1,0,0.17314919990846375,0.534383911539446,28.3
17723,4,16,13,35,13,9,13,0,0,0,1,7511349,0,1,0.30530274577341426,0.21557274191522813,20.6
18770,2,82,17,70,23,17,28,0,0,1,0,7511768,0,1,0.39060633497637565,0.20484394276980644,23.9
15726,1,131,1,34,49,0,28,0,1,0,0,7510103,0,1,0.08818479837262626,0.4039910983778825,27.9
16265,2,78,16,90,21,50,51,0,0,0,1,7511661,1,0,0.839163015049789,0.5402706025271531,27.2
8378,3,80,3,27,56,8,17,0,1,0,0,7510309,1,0,0.12544525112360697,0.6053544029785981,27.2
14628,3,226,9,75,21,0,20,0,1,0,0,7510934,0,1,0.1624829940537827,0.26367789636238326,22.3
5350,1,93,2,30,12,3,16,0,0,1,0,7510207,1,0,0.05850789312443561,0.001663746445630332,32.1
8477,2,68,5,93,100,0,11,0,1,0,0,7510520,1,0,0.12809058249167188,0.0,25.7
8378,2,193,3,33,120,5,24,1,0,0,0,7510311,1,0,0.17685333453877608,0.44551772471092893,25.8
17723,1,127,13,100,29,28,36,1,0,0,0,7511351,1,0,0.37684701582725566,0.0470787663227879,27.0
8477,1,378,6,113,42,5,72,1,0,0,0,7510623,1,0,0.24921783031861436,0.7095607920640797,35.3
13759,3,86,12,94,73,26,33,0,0,1,0,7511246,1,0,0.9872715205309921,0.40498057656400793,24.5
16265,2,78,16,90,21,50,51,0,1,0,0,7511661,1,0,0.839163015049789,0.5402706025271531,26.4
8378,2,193,3,33,120,5,24,0,0,1,0,7510311,1,0,0.17685333453877608,0.44551772471092893,28.7
14628,2,88,9,65,106,7,34,1,0,0,0,7510933,0,1,0.2045689780660741,0.17068644098913016,23.7
5428,2,26,4,22,48,2,8,0,1,0,0,7510416,1,0,0.12611451559451095,0.22725872263515867,28.6
13879,1,66,14,71,31,20,35,0,0,0,1,7511456,0,1,0.4051421792658828,0.7626496958546058,29.9
14628,3,88,9,65,106,7,34,0,0,1,0,7510933,0,1,0.2045689780660741,0.17068644098913016,23.6
13759,4,20,12,22,34,4,7,0,0,0,1,7511247,0,1,0.4737076358717704,0.3079928292028016,20.1
8477,3,221,6,45,126,0,59,0,0,0,1,7510624,1,0,0.12419188979994375,0.6722203095836371,30.7
13879,4,2,14,15,6,0,2,0,0,1,0,7511454,0,1,0.3757010152685058,0.9305731253209927,19.4
8477,3,221,6,45,126,0,59,0,1,0,0,7510624,1,0,0.12419188979994375,0.6722203095836371,25.2
13879,1,66,14,71,31,20,35,1,0,0,0,7511456,0,1,0.4051421792658828,0.7626496958546058,23.9
13879,2,66,14,71,31,20,35,1,0,0,0,7511456,1,0,0.4051421792658828,0.7626496958546058,24.6
15726,2,357,1,63,53,5,51,1,0,0,0,7510102,0,1,0.0,0.4964536134867332,23.7
15726,3,249,1,35,20,2,16,0,0,1,0,7510104,1,0,0.1635538931629119,0.3985873213123742,27.7
18654,3,92,20,88,19,25,35,0,0,0,1,7512080,1,0,0.5848702075627431,0.46491885488043166,23.1
15513,4,118,11,68,65,23,64,0,0,0,1,7511144,1,0,0.40827631538854264,0.42330259668705444,23.3
16265,2,151,16,56,7,8,25,1,0,0,0,7511663,0,1,0.7165140369566885,0.4551265190880629,25.8
18654,2,92,20,88,19,25,35,1,0,0,0,7512080,1,0,0.5848702075627431,0.46491885488043166,21.6
17723,4,70,13,78,37,10,23,0,1,0,0,7511350,1,0,0.4302646839553789,0.2118547143116556,17.0
5350,3,93,2,30,12,3,16,0,0,1,0,7510207,0,1,0.05850789312443561,0.001663746445630332,23.0
17723,3,127,13,100,29,28,36,1,0,0,0,7511351,1,0,0.37684701582725566,0.0470787663227879,22.5
18770,4,152,17,91,21,27,38,0,1,0,0,7511766,0,1,0.47844896543585286,0.33618191327895774,22.4
8477,1,221,6,45,126,0,59,0,0,0,1,7510624,0,1,0.12419188979994375,0.6722203095836371,32.7
